gpstime,week,gpsfix,numsats,lat,lon,alt,velx,vely,velz,nacc,eacc,vacc,tacc,timestamp
343022.599749,2055,3,5,34.592305,-112.433202,1578.663000,0.370000,0.230000,-0.390000,24.510000,17.326000,22.656000,1.240000,0.000000,1559171804.806882
343022.799750,2055,3,5,34.592306,-112.433202,1578.587000,0.050000,-0.090000,-0.290000,24.510000,17.326000,22.662001,1.360000,0.000000,1559171804.921273
343022.999750,2055,3,5,34.592306,-112.433203,1578.585000,0.080000,0.180000,-0.430000,24.510000,17.326000,22.665001,1.432000,0.000000,1559171805.122824
343023.199751,2055,3,5,34.592306,-112.433204,1578.761000,0.010000,-0.170000,-0.680000,24.510000,17.326000,22.674000,1.368000,0.000000,1559171805.325696
343023.399751,2055,3,5,34.592306,-112.433205,1578.604000,0.080000,-0.170000,-0.480000,24.540001,17.347000,22.683001,1.352000,0.000000,1559171805.522321
343023.599752,2055,3,5,34.592307,-112.433206,1579.021000,0.120000,-0.390000,-1.260000,24.540001,17.347000,22.688999,1.352000,0.000000,1559171805.721516
343023.799753,2055,3,5,34.592307,-112.433207,1579.181000,0.410000,0.020000,-1.390000,24.540001,17.347000,22.683001,1.472000,0.000000,1559171805.921979
343023.999753,2055,3,5,34.592308,-112.433208,1579.042000,0.460000,0.420000,-0.870000,24.480000,17.305000,22.646999,1.360000,0.000000,1559171806.123539
343024.199754,2055,3,5,34.592308,-112.433208,1578.980000,0.320000,0.130000,-0.610000,24.420000,17.261999,22.601999,1.400000,0.000000,1559171806.321379
343024.399755,2055,3,5,34.592308,-112.433209,1578.818000,0.200000,-0.360000,-0.300000,24.389999,17.240999,22.572001,0.984000,0.000000,1559171806.521766
343024.599755,2055,3,5,34.592309,-112.433210,1578.790000,0.190000,0.020000,-0.390000,24.330000,17.198999,22.524000,1.408000,0.000000,1559171806.723416
343024.799756,2055,3,5,34.592309,-112.433211,1578.926000,0.180000,0.090000,-0.620000,24.270000,17.156000,22.476000,1.432000,0.000000,1559171806.922542
343024.999757,2055,3,5,34.592309,-112.433212,1578.744000,0.210000,-0.220000,-0.130000,24.240000,17.135000,22.445999,0.816000,0.000000,1559171807.121657
343025.199757,2055,3,5,34.592309,-112.433212,1578.805000,0.000000,0.640000,-0.290000,24.240000,17.135000,22.448999,0.776000,0.000000,1559171807.322128
343025.399758,2055,3,5,34.592309,-112.433212,1578.695000,-0.150000,0.250000,-0.090000,24.270000,17.156000,22.458000,0.544000,0.000000,1559171807.523676
343025.599759,2055,3,5,34.592309,-112.433212,1578.664000,0.090000,0.330000,-0.120000,24.240000,17.135000,22.455000,0.816000,0.000000,1559171807.722787
343025.799759,2055,3,5,34.592309,-112.433212,1578.604000,-0.440000,0.150000,0.030000,24.240000,17.135000,22.445999,0.632000,0.000000,1559171807.921903
343025.999760,2055,3,5,34.592309,-112.433212,1578.883000,0.100000,0.200000,-0.710000,24.209999,17.114000,22.434000,1.432000,0.000000,1559171808.122279
343026.199761,2055,3,5,34.592309,-112.433212,1579.006000,0.070000,0.060000,-0.790000,24.180000,17.093000,22.398001,1.408000,0.000000,1559171808.322636
343026.399761,2055,3,5,34.592310,-112.433213,1579.338000,0.120000,-0.130000,-1.160000,24.150000,17.072001,22.379999,1.360000,0.000000,1559171808.521740
343026.599762,2055,3,5,34.592310,-112.433214,1579.372000,0.140000,0.020000,-0.890000,24.120001,17.049999,22.347000,1.328000,0.000000,1559171808.723405
343026.799763,2055,3,5,34.592310,-112.433215,1579.444000,-0.210000,-0.240000,-0.750000,24.090000,17.028999,22.320000,1.064000,0.000000,1559171808.922688
343026.999763,2055,3,5,34.592310,-112.433216,1579.581000,0.090000,-0.070000,-0.930000,24.030001,16.987000,22.290001,1.280000,0.000000,1559171809.121642
343027.199764,2055,3,5,34.592310,-112.433218,1579.552000,0.120000,-0.150000,-0.580000,24.000000,16.966000,22.245001,1.264000,0.000000,1559171809.322020
343027.399765,2055,3,5,34.592310,-112.433219,1579.668000,0.230000,-0.040000,-0.550000,23.940001,16.923000,22.197001,1.320000,0.000000,1559171809.522379
