gpstime,week,gpsfix,numsats,lat,lon,alt,velx,vely,velz,nacc,eacc,vacc,sacc,tacc,timestamp
348414.000202,2055,3,9,34.59225190,-112.43333260,1545.420,0.170,-0.260,0.500,12.180,8.884,10.743,0.448,0.00000000800,1559177196.194741011
348414.200203,2055,3,9,34.59225160,-112.43333290,1545.499,0.000,0.000,0.120,12.180,8.884,10.737,0.448,0.00000000800,1559177196.346035004
348414.400204,2055,3,9,34.59225090,-112.43333270,1545.718,-0.070,-0.010,-0.260,12.150,8.862,10.728,0.440,0.00000000800,1559177196.543994904
348414.600205,2055,3,9,34.59225050,-112.43333270,1545.868,0.040,-0.090,0.020,12.150,8.862,10.716,0.368,0.00000000700,1559177196.743113041
348414.800206,2055,3,9,34.59225040,-112.43333310,1545.888,0.030,-0.030,0.210,12.150,8.862,10.707,0.472,0.00000000700,1559177196.943559885
348415.000207,2055,3,9,34.59225030,-112.43333340,1545.908,0.030,0.040,0.030,12.120,8.840,10.695,0.368,0.00000000700,1559177197.142607927
348415.200208,2055,3,9,34.59225040,-112.43333360,1545.940,0.090,0.070,0.060,12.120,8.840,10.683,0.344,0.00000000700,1559177197.344247103
348415.400209,2055,3,9,34.59225030,-112.43333370,1545.988,0.010,0.030,0.140,12.090,8.819,10.668,0.424,0.00000000700,1559177197.544607878
348415.600210,2055,3,9,34.59225010,-112.43333390,1546.018,0.120,0.040,0.280,12.060,8.797,10.650,0.424,0.00000000700,1559177197.743752003
348415.800211,2055,3,9,34.59225010,-112.43333440,1546.014,0.140,-0.130,0.380,12.060,8.797,10.632,0.440,0.00000000700,1559177197.942861557
348416.000212,2055,3,9,34.59225000,-112.43333530,1545.968,0.040,-0.180,0.280,12.030,8.775,10.617,0.424,0.00000000700,1559177198.146961927
348416.200213,2055,3,9,34.59224970,-112.43333590,1545.994,-0.080,-0.120,-0.120,12.000,8.753,10.593,0.352,0.00000000700,1559177198.344934464
348416.400214,2055,3,9,34.59224920,-112.43333610,1546.107,0.050,-0.070,0.010,11.970,8.731,10.572,0.352,0.00000000700,1559177198.542735577
348416.600215,2055,3,9,34.59224880,-112.43333630,1546.178,0.060,-0.080,0.260,11.940,8.709,10.548,0.432,0.00000000700,1559177198.743134499
348416.800216,2055,3,9,34.59224860,-112.43333680,1546.134,0.050,0.080,0.120,11.940,8.709,10.542,0.384,0.00000000700,1559177198.943481207
348417.000217,2055,3,9,34.59224820,-112.43333710,1546.167,-0.040,0.040,-0.030,11.940,8.709,10.530,0.384,0.00000000700,1559177199.143852234
348417.200218,2055,3,9,34.59224790,-112.43333760,1546.200,-0.010,0.040,-0.110,11.910,8.687,10.518,0.432,0.00000000700,1559177199.342961550
348417.400219,2055,3,9,34.59224750,-112.43333780,1546.293,0.110,0.100,0.100,11.910,8.687,10.512,0.360,0.00000000700,1559177199.544606209
348417.600220,2055,3,9,34.59224730,-112.43333830,1546.297,0.080,-0.090,0.190,11.910,8.687,10.509,0.448,0.00000000700,1559177199.742502213
348417.800221,2055,3,9,34.59224700,-112.43333890,1546.313,-0.170,0.080,-0.080,11.880,8.665,10.503,0.360,0.00000000700,1559177199.944208384
