compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.434900,0.073100,0.226100,-0.197000,0.020000,-9.685000,0.000870,-0.000678,0.001879,30.100000,84.009000,1559172027.239763
0.436000,0.073100,0.224700,-0.194000,-0.010000,-9.688000,0.000417,-0.001507,0.001973,30.100000,84.013000,1559172027.346724
0.433900,0.072000,0.222100,-0.176000,0.002000,-9.676000,-0.000198,-0.001876,0.002229,30.100000,83.997000,1559172027.439977
0.435000,0.072000,0.224700,-0.178000,-0.027000,-9.667000,0.000619,-0.001549,0.002781,30.100000,84.013000,1559172027.547096
0.433900,0.073100,0.226200,-0.188000,0.025000,-9.677000,0.000392,-0.000957,0.002507,30.100000,83.997000,1559172027.639108
0.436000,0.072000,0.223300,-0.191000,-0.005000,-9.711000,0.000912,-0.002589,0.002777,30.100000,84.009000,1559172027.746223
0.434900,0.073100,0.224700,-0.164000,-0.007000,-9.713000,0.001010,-0.002744,0.002780,30.100000,83.997000,1559172027.840720
0.436000,0.072000,0.223300,-0.185000,0.008000,-9.714000,-0.000157,-0.001485,0.002909,30.100000,84.000000,1559172027.947842
0.436000,0.072000,0.226000,-0.201000,0.007000,-9.676000,0.000275,-0.001980,0.001609,30.100000,84.013000,1559172028.038630
0.434900,0.073100,0.224700,-0.183000,0.015000,-9.658000,0.001667,-0.002259,0.002607,30.100000,84.000000,1559172028.145943
0.433900,0.068600,0.226100,-0.158000,-0.003000,-9.655000,0.001535,-0.001621,0.002857,30.200000,84.000000,1559172028.240224
0.437100,0.070800,0.224600,-0.183000,0.022000,-9.693000,0.000545,0.000344,0.002093,30.200000,84.013000,1559172028.347347
0.435000,0.069700,0.223400,-0.181000,-0.016000,-9.676000,0.000269,-0.002089,0.001910,30.200000,84.000000,1559172028.439346
0.438200,0.072000,0.221800,-0.194000,0.002000,-9.674000,0.000878,-0.001463,0.004171,30.200000,83.997000,1559172028.547717
0.434900,0.070900,0.220600,-0.171000,-0.005000,-9.708000,0.000088,-0.002539,0.001671,30.200000,83.987000,1559172028.639719
0.436000,0.068600,0.223300,-0.149000,-0.000000,-9.718000,0.000621,-0.001850,0.001457,30.200000,84.000000,1559172028.745591
0.437100,0.073100,0.226000,-0.175000,0.016000,-9.645000,-0.000336,-0.003650,0.001859,30.200000,84.013000,1559172028.838843
0.435000,0.068600,0.220600,-0.165000,0.007000,-9.671000,0.001103,-0.002281,0.002456,30.200000,84.013000,1559172028.946027
0.437100,0.072000,0.226000,-0.193000,-0.008000,-9.692000,0.001755,-0.001981,0.002257,30.200000,83.987000,1559172029.040530
0.436000,0.068600,0.223300,-0.186000,0.010000,-9.673000,0.000648,-0.002525,0.002895,30.200000,84.000000,1559172029.146343
0.432800,0.073100,0.224900,-0.188000,-0.004000,-9.716000,-0.000025,-0.001538,0.002709,30.200000,84.000000,1559172029.240843
0.436000,0.069700,0.226000,-0.184000,0.003000,-9.659000,-0.000284,-0.001255,0.001688,30.200000,84.000000,1559172029.347967
0.436000,0.069700,0.223300,-0.185000,0.003000,-9.701000,0.001182,-0.001303,0.000780,30.200000,84.000000,1559172029.439969
0.436000,0.073100,0.226000,-0.172000,-0.007000,-9.675000,0.000316,-0.002116,0.003320,30.200000,83.987000,1559172029.547093
0.433900,0.074300,0.223500,-0.185000,0.017000,-9.680000,-0.000128,-0.003341,0.001078,30.200000,84.003000,1559172029.639173
0.436000,0.070900,0.221900,-0.177000,-0.010000,-9.663000,0.000672,-0.002905,0.001751,30.200000,84.016000,1559172029.746221
0.436000,0.070900,0.221900,-0.181000,-0.017000,-9.694000,0.000597,-0.001741,0.002816,30.200000,84.003000,1559172029.840777
0.436000,0.073100,0.223300,-0.188000,-0.006000,-9.699000,0.000191,-0.002016,0.002282,30.200000,84.003000,1559172029.946649
0.436000,0.075400,0.222000,-0.186000,0.007000,-9.684000,-0.000295,-0.001099,0.002720,30.200000,84.003000,1559172030.039845
0.437100,0.073100,0.224600,-0.174000,-0.014000,-9.665000,0.001016,-0.002703,0.002839,30.200000,84.000000,1559172030.148214
0.435000,0.072000,0.226100,-0.176000,0.001000,-9.714000,0.000807,-0.002658,0.002631,30.200000,84.003000,1559172030.240222
0.437100,0.070800,0.224600,-0.174000,0.010000,-9.694000,0.001428,-0.003379,0.003402,30.200000,83.990000,1559172030.346090
0.437100,0.072000,0.226000,-0.189000,-0.005000,-9.702000,-0.000060,-0.001749,0.003015,30.200000,84.003000,1559172030.439342
0.433900,0.070900,0.224800,-0.194000,-0.025000,-9.700000,0.000175,-0.003004,0.001950,30.200000,84.003000,1559172030.547714
0.433900,0.074300,0.223500,-0.161000,0.002000,-9.669000,0.001987,-0.000464,0.002170,30.200000,84.003000,1559172030.639739
0.433900,0.069700,0.222100,-0.182000,-0.004000,-9.667000,0.000733,-0.002575,0.003639,30.200000,83.990000,1559172030.746895
0.435000,0.072000,0.224700,-0.184000,0.021000,-9.680000,0.001654,-0.000179,0.002815,30.200000,84.000000,1559172030.838937
0.438200,0.070800,0.223200,-0.185000,0.001000,-9.706000,0.000486,-0.002397,0.002524,30.200000,84.003000,1559172030.947344
