compx,compy,compz,accelx,accely,accelz,gyrox,gyroy,gyroz,temp,baro,timestamp
0.4318,0.0595,0.2235,-0.053,0.171,-9.644,-0.000025,-0.001566,0.001217,32.7,83.996,1559177150.231777191
0.4339,0.0595,0.2220,-0.053,0.166,-9.654,0.001112,-0.000332,-0.000365,32.7,83.996,1559177150.268622637
0.4361,0.0629,0.2232,-0.050,0.166,-9.674,0.000829,-0.000690,0.002829,32.7,83.999,1559177150.305614710
0.4318,0.0606,0.2207,-0.037,0.176,-9.668,0.001930,-0.001181,0.000872,32.7,83.983,1559177150.342411995
0.4350,0.0606,0.2247,-0.026,0.161,-9.677,0.001651,-0.001929,0.002283,32.7,83.996,1559177150.379284143
0.4318,0.0617,0.2208,-0.063,0.159,-9.703,0.000756,-0.002008,0.001668,32.7,83.983,1559177150.429669619
0.4307,0.0640,0.2208,-0.065,0.161,-9.700,0.000558,-0.000296,0.000329,32.7,83.983,1559177150.484555721
0.4329,0.0606,0.2180,-0.045,0.180,-9.704,0.000550,-0.001115,0.001951,32.7,83.986,1559177150.526893139
0.4339,0.0629,0.2206,-0.026,0.169,-9.695,0.000780,-0.002056,0.002297,32.7,83.996,1559177150.567761898
0.4318,0.0617,0.2221,-0.054,0.166,-9.691,0.000778,-0.001381,0.001392,32.7,83.983,1559177150.607784510
0.4329,0.0617,0.2234,-0.056,0.180,-9.695,0.001014,-0.000638,0.002816,32.7,83.983,1559177150.647284985
0.4318,0.0606,0.2180,-0.045,0.166,-9.707,0.001523,-0.000952,0.000457,32.7,83.996,1559177150.686554670
0.4318,0.0618,0.2194,-0.042,0.169,-9.709,0.000902,-0.001861,0.001246,32.7,83.999,1559177150.725868702
0.4339,0.0640,0.2193,-0.046,0.158,-9.717,0.000958,0.000675,0.001392,32.7,83.996,1559177150.764865160
0.4329,0.0595,0.2220,-0.062,0.176,-9.656,0.000453,-0.000528,0.002552,32.7,83.983,1559177150.803985596
0.4328,0.0617,0.2193,-0.059,0.169,-9.687,0.001241,-0.001191,0.000785,32.7,83.996,1559177150.843343258
0.4350,0.0606,0.2192,-0.030,0.173,-9.712,0.000302,-0.000791,0.001610,32.7,83.983,1559177150.882306099
0.4318,0.0652,0.2221,-0.045,0.161,-9.707,0.002110,-0.001321,0.001951,32.7,83.996,1559177150.921149492
0.4307,0.0595,0.2208,-0.042,0.170,-9.678,0.001965,-0.000944,0.002762,32.7,83.996,1559177150.959992409
0.4329,0.0617,0.2207,-0.055,0.186,-9.677,0.001594,-0.000790,0.002763,32.7,83.986,1559177150.998804569
0.4339,0.0606,0.2193,-0.052,0.185,-9.694,0.000729,-0.001080,0.000580,32.7,83.983,1559177151.037777901
0.4329,0.0606,0.2220,-0.063,0.171,-9.716,0.001026,-0.001163,0.001566,32.7,83.996,1559177151.077080965
0.4307,0.0606,0.2194,-0.035,0.189,-9.699,0.001001,-0.001176,0.001898,32.7,83.983,1559177151.116571903
0.4339,0.0617,0.2234,-0.066,0.160,-9.669,0.001859,-0.001311,0.001358,32.7,83.996,1559177151.156355858
