l_dist_mm,r_dist_mm,timestamp
0,0,2.399
0,0,2.499
0,0,2.600
0,0,2.700
0,0,2.801
0,0,2.901
0,0,3.002
0,0,3.102
0,0,3.203
0,0,3.303
0,0,3.404
0,0,3.504
0,0,3.604
0,0,3.705
0,0,3.805
0,0,3.906
0,0,4.006
0,0,4.107
0,0,4.207
0,0,4.307
0,0,4.408
0,0,4.509
0,0,4.609
0,0,4.710
0,0,4.810
0,0,4.910
0,0,5.011
0,0,5.111
0,0,5.212
0,0,5.313
0,0,5.413
0,0,5.513
0,0,5.614
0,0,5.714
0,0,5.815
0,0,5.915
0,0,6.015
0,0,6.116
0,0,6.216
0,0,6.317
0,0,6.417
0,0,6.517
0,0,6.618
0,0,6.719
0,0,6.819
0,0,6.920
0,0,7.020
0,0,7.120
0,0,7.221
0,0,7.321
0,0,7.421
0,0,7.522
0,0,7.622
0,0,7.723
0,0,7.824
0,0,7.924
0,0,8.024
0,0,8.125
0,0,8.225
0,0,8.326
0,0,8.426
0,0,8.526
0,0,8.627
0,0,8.728
0,0,8.828
0,0,8.929
0,0,9.029
0,0,9.129
0,0,9.230
0,0,9.330
0,0,9.431
0,0,9.532
0,0,9.632
0,0,9.732
0,0,9.833
0,0,9.934
0,0,10.034
0,0,10.134
0,0,10.235
0,0,10.335
0,0,10.436
0,0,10.536
0,0,10.637
0,0,10.737
0,0,10.838
0,0,10.938
0,0,11.038
0,0,11.139
0,0,11.239
0,0,11.340
0,0,11.441
0,0,11.541
0,0,11.641
0,0,11.742
0,0,11.842
0,0,11.942
0,0,12.043
0,0,12.144
0,0,12.247
2,0,12.348
5,-5,12.448
10,-10,12.548
16,-17,12.648
23,-24,12.749
31,-31,12.849
37,-38,12.949
41,-42,13.050
44,-44,13.151
46,-46,13.251
47,-47,13.352
48,-48,13.452
49,-48,13.551
50,-48,13.651
50,-48,13.752
50,-48,13.852
50,-48,13.953
50,-48,14.053
50,-48,14.154
50,-48,14.253
50,-48,14.353
50,-48,14.454
